Env,r,rMain,RMSE,RMSEmain,MAD,rank,rankMain
WMaA16CUND6,0.800119641750381,0.687179608480304,21.0463903635849,24.6705063642061,16.4051113897108,0.8,0.6
WMaA16DAND6,0.692597436564138,0.534142652526972,24.4423770027247,28.5959442031901,21.3499364667987,0.8,0.6
WMaA16ENEA6,0.0667794095709637,-0.0292648658260411,47.7754491650695,49.2898749490264,35.3932018865774,0.2,0.2
WMaA16ERAD6,0.477740618407164,0.497698357190647,17.5800334720598,16.9765520647185,14.220657191708,0.6,0.6
WMaA16GIBS6,0.329033561574472,0.0906071243686756,32.5495174307269,34.5222243152575,27.2034410833515,0.4,0.2
WMaA16GNOW6,0.680680732150581,0.679158272593922,23.2023115063932,22.39817150771,16.7376292116833,0.8,0.8
WMaA16GRAC6,0.762196976585346,0.665637599354016,32.8038685772601,37.0955771459858,25.2544125638236,0.8,0.6
WMaA16HYDE6,0.637824026696183,0.386016321632643,32.5430234316824,38.6768648123405,26.3193899364002,0.4,0.4
WMaA16JERR6,0.790698820986092,0.588763296817943,18.2397617508273,23.7112957136763,13.6781657759131,0.6,0.8
WMaA16KELL6,0.6077506495507,0.679647283191275,20.216622706475,18.098716558234,16.7018543818294,0.2,0.4
WMaA16KEND6,0.600621677315181,0.419376815891285,24.2872640646234,25.068069515035,19.5145371548832,0.6,0.2
WMaA16KOJO6,0.549018094451683,0.0860679162374983,84.931743733113,97.4422305610879,69.969056794085,0.4,0
WMaA16KULI6,0.227834655590204,-0.0917341829470101,34.9371144690435,37.0758886638127,26.2902628982953,0.4,0
WMaA16MADD6,0.624659371930923,0.308302048357383,29.0872744334188,35.8165591941305,22.8423540732362,0.4,0.2
WMaA16MERR6,0.747472101066949,0.647230940768901,14.0620195628927,16.0809171997647,11.3939288967298,0.8,0.8
WMaA16MILI6,0.672836326793818,0.61517525315397,26.6099780992241,28.386287372016,22.043764106027,0.6,0.6
WMaA16MING6,0.797770609216651,0.778905093973346,19.2112136722841,19.7105861270226,15.7224509911463,0.6,0.6
WMaA16MORA6,0.336851247780098,0.437345037988208,27.2582832500298,25.3282608079923,23.2287247269394,0.2,0.2
WMaA16MORK6,0.630934179784576,0.364215902692171,50.3073568572055,56.9385873059149,41.1951479235946,0.4,0.2
WMaA16MUKI6,0.687408605087785,0.498290331821702,16.7197649866865,19.1700366938821,13.9870321465274,0.6,0.6
WMaA16MULL6,0.47808675161359,0.442042594160331,21.7320910260492,22.2537453711618,17.2466001860971,0.4,0.2
WMaA16MUNG6,0.405107893630406,0.35724935699966,30.6357680616849,30.8273183624569,24.3281438674819,0.6,0.4
WMaA16NABA6,0.799688217461862,0.701015025885484,29.9105124385388,32.894345171429,21.6015317670859,0.4,0.6
WMaA16NAGN6,0.729136527671895,0.50241277152623,35.6981751480044,43.2118598609079,27.1972892255812,0.6,0.4
WMaA16NARE6,0.668694391873122,0.504595997381923,40.2914189615434,45.4345500036218,30.2239084016984,0.8,0.6
WMaA16OLGI6,0.503956757738916,0.428465753238044,36.9724331173174,38.5935301679767,27.8441241005987,0.6,0.6
WMaA16PITH6,0.621396101854577,0.625512985687076,21.7220241346156,21.3322258542929,16.6243804808119,0.4,0.4
WMaA16SALM6,0.784012640676084,0.667447066325461,16.5738139496743,19.8849360001261,13.2407464972717,0.6,0.6
WMaA16SCAD6,0.406453337994468,0.381691084747921,28.5176015364883,27.6632876438617,23.1710072093589,0.4,0.4
WMaA16ST.S6,0.599494507232737,0.523498329054703,30.0879729799959,31.884193411021,23.8309830649157,0.6,0.6
WMaA16WAGI6,0.789582046234521,0.633186241554305,24.7172524988552,30.8769607938591,20.6597959052031,0.8,0.6
WMaA16WICK6,0.783099917267105,0.662815445661919,29.5501886044053,34.8024058459033,23.0900441565805,0.8,0.6
WMaA16WYAL6,0.697105495603655,0.654565721595221,23.1218556428368,24.6678879323157,18.3144017531357,0.8,0.8
WMaA16YORK6,0.727275586875501,0.671125219025359,25.6642843051591,28.0735645595201,19.6481172439803,0.6,0.6
WMaA17BALL6,0.553839899331529,0.49590994340973,23.6967010004748,24.9954691722769,18.1917372938895,0.4,0.2
WMaA17BENC6,0.500456329725681,0.529041469403949,16.8719266122808,17.0188155934774,13.10402728052,0.6,0.6
WMaA17BEVE6,0.803974377551712,0.764147865493761,27.5547231529291,29.4619878053473,21.3379842274388,1,0.8
WMaA17BOLG6,0.703478031340969,0.665795348960793,21.2382846014738,22.1451513513965,16.7457944383181,0.8,0.8
WMaA17BUNT6,0.555627451075656,0.556686818495379,13.1131252271318,15.033518893669,10.7442520641235,0.8,1
WMaA17CADO6,0.508749420306278,0.527544818314861,24.8063940455339,24.4712854372533,18.7952917077343,0.4,0.4
WMaA17CARN6,0.780510545062988,0.779033658831093,8.58952624760282,11.1830728312641,6.61694636859051,0.6,0.8
WMaA17COOR6,0.42424319480925,0.480399534413052,13.9755552223054,15.7932505167309,11.4709841652816,0.2,0.4
WMaA17CORR6,0.827901360936684,0.7840526971566,16.07868108005,17.8785716656877,12.365784183668,1,1
WMaA17CUND6,0.860335775544416,0.813513570408211,13.849233528245,15.4737580554763,10.9572505987405,0.8,0.8
WMaA17DAND6,0.75893660087358,0.751976214865522,22.3732855600701,22.0203336627793,18.2237983699889,0.8,1
WMaA17ENEA6,0.728165139174076,0.603703902413053,13.436126577931,16.7482167366644,9.84773989042115,0.6,0.6
WMaA17ERAD6,0.272666077980905,0.13500784865338,22.7791765735264,26.2512013216395,19.0687172813121,0.6,0.4
WMaA17GIBS6,0.829855455307887,0.758618318348503,15.0978792751477,17.4605286309919,12.1264196256466,0.6,0.4
WMaA17GNOW6,0.804523897017717,0.830544476982167,23.865407301894,25.2112649839389,17.7076969477818,1,1
WMaA17GOOM6,0.706493973637899,0.55484558171909,19.8626535133978,23.4615448555382,16.317182678251,0.8,0.4
WMaA17GRAC6,0.849930359451143,0.825728483995788,11.9883911032711,12.7718608735247,9.3918160892953,0.8,0.8
WMaA17HYDE6,0.83089309100982,0.832291291754984,18.7630894778707,19.0055772830076,14.1657872629146,0.8,0.8
WMaA17JERR6,0.613163122248931,0.659437908342777,25.6421907553392,24.5619496271281,21.125312368994,1,1
WMaA17KELL6,0.697437157186546,0.580532086131358,18.0674741029078,20.7642249021879,13.8512669560523,0.4,0.4
WMaA17KEND6,0.793219830420801,0.721809924563233,34.283835415693,38.915574003232,29.054841852018,0.8,0.8
WMaA17KOJO6,0.818194676590998,0.785958802361165,22.1425236914173,25.2892337247595,17.0426779876349,0.8,0.8
WMaA17KULI6,0.713058740677686,0.685752761778132,24.0065522421728,25.1539167611849,19.0674819777573,0.8,0.8
WMaA17MADD6,0.862648368896298,0.814829630919142,15.8557263613366,17.8916961810274,12.7072320083673,0.8,0.8
WMaA17MERR6,0.468539912556015,0.557985753202256,29.6998493468877,27.7446534934048,22.7672289748731,1,1
WMaA17MILI6,0.701221829496891,0.554413156375293,23.2972107734224,26.5789390508041,18.3823538911512,0.4,0.4
WMaA17MING6,0.299629265432972,0.344015637250794,14.961742079566,16.6973471468469,11.7252888602723,0.2,0.4
WMaA17MORA6,0.392377483814662,0.321638306571251,11.8705205150064,16.3023975320332,9.8188133116065,0.2,0.2
WMaA17MORK6,0.614667764125932,0.561957323771091,15.8905914770255,16.8329277147274,12.3783271542857,0.6,0.6
WMaA17MUKI6,0.686411205106186,0.677075076091178,12.7516486676951,13.8299450386259,9.59893557290133,1,1
WMaA17MULL6,0.230921822220818,0.232137146340134,26.1901545383572,27.5563107124916,20.7434181006864,0.2,0.4
WMaA17NABA6,0.494955565541667,0.293464667562778,24.1457924905482,28.0472630170561,18.4038632323111,0.6,0.4
WMaA17NAGN6,-0.0557803519670086,-0.116222099214476,49.218064215418,48.2980751682197,38.4564164961008,0.2,0.2
WMaA17NARE6,0.724677416618276,0.727259003981665,15.2026890960417,14.8951796119958,12.3997918369228,0.6,0.6
WMaA17OLGI6,0.178579209146197,0.122482259186709,26.0563337904995,27.9226159542787,19.3952069667223,0.2,0.2
WMaA17PITH6,0.575131448237018,0.567625931819051,20.1659753459128,20.5207136473819,15.1023915574273,0.8,0.8
WMaA17SALM6,0.717484901225837,0.680675569423492,19.1806485073123,20.1255443490901,13.8871719136237,0.8,0.8
WMaA17SCAD6,0.505433507181386,0.504667810285918,26.1279468606176,26.1291279721516,21.7501486127597,0.8,0.8
WMaA17ST.S6,0.344462942858793,0.165502993024146,38.9771984899549,41.8517521163802,33.1697797775001,0.2,0.2
